OFSS IN Equity,price,volume,mc,pe,bm,div
2021-05-31,3473.1,3057565.0,299092.8416,16.951,4.3643,200.0
2021-06-30,3651.5,2050510.0,314483.1188,17.3931,5.5272,200.0
2021-07-31,4315.45,5378394.0,371665.3866,20.5556,6.5322,200.0
2021-08-31,4699.55,3706855.0,404745.7548,22.3852,7.1136,200.0
2021-09-30,4555.95,3893404.0,392378.2962,21.0589,6.3977,200.0
2021-10-31,4424.5,4856740.0,381057.2485,20.4513,6.2131,200.0
2021-11-30,4235.2,1890430.0,365160.0282,19.5763,5.9473,200.0
2021-12-31,3961.2,1887086.0,341579.378,18.2642,5.1893,200.0
2022-01-31,3515.25,3107690.0,303128.7675,16.208,4.6051,200.0
2022-02-28,3389.55,2106431.0,292289.3433,15.6285,4.4404,200.0
2022-03-31,3587.75,1906502.0,309464.0276,16.3635,4.3584,200.0
2022-04-30,3561.25,1308957.0,307357.1107,16.2426,4.3262,200.0
2022-05-31,3293.85,2231414.0,284403.9308,15.023,4.0013,190.0
2022-06-30,3098.3,1535190.0,267520.9661,14.3884,3.8094,190.0
2022-07-31,3144.05,1665700.0,271481.8226,14.6009,3.8094,190.0
2022-08-31,3169.85,2150258.0,273760.9508,14.7207,3.8094,190.0
2022-09-30,2982.5,2061092.0,257609.8436,14.2438,4.0046,190.0
2022-10-31,2912.85,1769683.0,251611.4878,13.9111,3.911,190.0
2022-11-30,3107.85,1579695.0,268455.5547,14.8424,4.1729,190.0
2022-12-31,3023.35,1953800.0,261171.4821,14.4299,4.0211,190.0
2023-01-31,3046.9,1516836.0,263222.5959,14.5423,4.0211,190.0
2023-02-28,3169.1,1434829.0,273779.4902,15.1255,4.0211,190.0
2023-03-31,3263.75,1334956.0,281978.793,15.6067,3.7804,190.0
2023-04-30,3561.85,1408576.0,307796.6765,17.0321,4.1257,190.0
2023-05-31,3633.6,2463064.0,314260.7729,17.3752,4.2088,225.0
2023-06-30,3858.65,2167281.0,333733.261,18.3662,4.4424,225.0
2023-07-31,3886.0,1322500.0,336132.8174,18.4964,4.4424,225.0
2023-08-31,4109.3,1396999.0,355617.8234,19.5592,4.4424,225.0
2023-09-30,4110.85,1640440.0,356011.2643,19.3647,5.4801,225.0
2023-10-31,3877.65,1364311.0,335815.4831,18.2662,5.1692,225.0
2023-11-30,4011.0,2018712.0,347407.0333,18.8944,5.347,225.0
2023-12-31,4212.8,2924641.0,364977.9628,17.0431,5.5957,225.0
2024-01-31,6521.1,18565867.0,564999.6072,26.3814,5.5957,225.0
2024-02-29,7673.0,5548088.0,664973.8465,31.0415,5.5957,225.0
2024-03-31,8774.1,6741146.0,760465.7769,34.2282,9.6766,225.0
2024-04-30,7598.65,6722141.0,658633.3075,29.6427,8.3802,225.0
2024-05-31,7454.95,3504127.0,646414.1744,29.0821,8.2217,240.0
2024-06-30,9882.25,8717844.0,856907.9721,36.6646,10.8684,240.0
2024-07-31,11044.85,8210703.0,957742.416,40.978,10.8684,240.0
2024-08-31,10988.7,8802280.0,953077.2909,40.7697,10.8684,240.0
2024-09-30,11458.7,7846776.0,993976.7271,39.8097,14.082,240.0
2024-10-31,10886.5,3499024.0,944908.3336,37.8218,13.3789,240.0
2024-11-30,11696.45,2196652.0,1015387.071,40.6357,14.3742,240.0
2024-12-31,12789.45,3454054.0,1110369.434,48.3211,14.4866,240.0
2025-01-31,9122.05,4683906.0,792096.8833,34.4649,10.3326,240.0
2025-02-28,7763.9,2311254.0,674278.077,29.3335,8.7942,240.0
2025-03-31,7850.9,3871395.0,681953.5196,28.6315,8.155,240.0
2025-04-30,8721.5,3740911.0,757576.5354,31.8065,9.0593,240.0
2025-05-31,8462.5,2923178.0,735365.2363,30.8619,8.7903,265.0
2025-06-30,8986.0,4562507.0,780855.777,32.4457,9.3393,265.0
2025-07-31,8475.0,2907072.0,736502.569,30.6006,9.3393,265.0
2025-08-31,8293.5,1659534.0,720729.6822,29.9453,9.3393,265.0
2025-09-30,8403.0,5962744.0,730525.2415,30.7532,9.9217,265.0
2025-10-31,8515.0,3215629.0,740853.7569,31.1631,10.0539,265.0
2025-11-30,8107.0,2171589.0,705400.0578,29.6699,9.5722,395.0
2025-12-31,7687.0,2354721.0,668898.918,27.3607,9.0049,395.0
2026-01-31,7760.0,2962908.0,675287.034,27.6206,9.0049,395.0
2026-02-28,6932.0,3786115.0,603286.4421,24.6734,9.0049,395.0
2026-03-31,6790.5,342962.0,590971.8098,24.1698,9.0049,395.0
