INDA IN Equity,price,volume,mc,pe,bm,div
2024-10-31,736.15,8826681.0,101721.2011,31.035,4.1299,3.5
2024-11-30,717.0,4831585.0,99245.5941,30.2277,4.0225,3.5
2024-12-31,955.95,74445810.0,132534.8448,40.3014,5.3631,3.5
2025-01-31,811.0,38973981.0,112438.6831,34.1906,4.5499,3.5
2025-02-28,665.7,6591684.0,92321.4235,28.0649,3.7347,3.5
2025-03-31,692.7,9740181.0,96136.7581,28.5179,3.4526,3.5
2025-04-30,789.55,15895183.0,109630.4142,32.5051,3.9353,3.5
2025-05-31,1172.55,28513954.0,162881.5681,48.273,5.8442,3.5
2025-06-30,1148.9,14429416.0,159642.1171,47.2993,5.7264,3.5
2025-07-31,1022.6,9322805.0,142161.9103,42.0996,5.0969,7.0
2025-08-31,977.2,8302448.0,135879.0385,40.2305,4.8706,7.0
2025-09-30,974.6,10856469.0,135630.8425,40.1235,4.8576,7.0
2025-10-31,1133.5,11208633.0,157744.2643,46.6653,5.6496,7.0
2025-11-30,1112.5,19700518.0,154881.9763,45.8007,5.5449,7.0
2025-12-31,971.0,5428298.0,135275.3136,39.9753,4.8397,7.0
2026-01-31,913.7,4801451.0,127292.5376,37.6163,4.5541,7.0
2026-02-28,697.6,14823215.0,97247.5488,28.7196,3.477,7.0
2026-03-31,657.0,1153873.0,91587.7861,27.0482,3.2746,7.0
