TATACONS IN Equity,price,volume,mc,pe,bm,div
2017-12-31,312.52,114611122.0,199689.4485,42.6991,2.9093,2.3211
2018-01-31,287.08,86442687.0,183437.8578,39.224,2.9093,2.3211
2018-02-28,272.12,93835021.0,173876.2403,37.1795,2.9093,2.3211
2018-03-31,255.57,63122092.0,163304.8174,32.9618,2.3224,2.3211
2018-04-30,293.9,73234457.0,187792.6509,37.9045,2.6707,2.3211
2018-05-31,265.9,93409244.0,169900.123,34.293,2.4162,2.3211
2018-06-30,266.04,62684686.0,169994.7925,34.3121,2.4176,2.4693
2018-07-31,243.87,69938211.0,155825.9301,31.9819,2.4889,2.4693
2018-08-31,231.42,64881747.0,147873.6955,30.3497,2.4889,2.4693
2018-09-30,230.88,71240143.0,147526.5742,28.7515,1.9961,2.4693
2018-10-31,215.18,56326565.0,137491.6115,26.7958,1.8603,2.4693
2018-11-30,215.97,31214691.0,137996.5152,26.8942,1.8671,2.4693
2018-12-31,216.71,52266759.0,138469.8625,31.1648,1.8855,2.4693
2019-01-31,201.3,28644064.0,128624.2388,28.9489,1.8855,2.4693
2019-02-28,191.32,44108846.0,122249.8285,27.5142,1.8855,2.4693
2019-03-31,201.45,44232619.0,128718.9082,31.5712,1.7557,2.4693
2019-04-30,206.63,55717730.0,132032.3393,32.3839,1.8008,2.4693
2019-05-31,241.0,113016656.0,153995.6539,37.7709,2.1004,2.4693
2019-06-30,266.39,75045894.0,170215.6879,41.4286,2.3569,2.4693
2019-07-31,248.51,42251565.0,158792.2398,38.6482,2.3569,2.4693
2019-08-31,275.08,50168598.0,175769.6295,42.7803,2.3569,2.4693
2019-09-30,272.61,62917444.0,174191.8052,40.1123,2.3845,2.4693
2019-10-31,313.11,64359986.0,200068.1241,46.071,2.7387,2.4693
2019-11-30,319.18,80138805.0,203949.5719,46.9648,2.7918,2.4693
2019-12-31,317.4,65052980.0,202813.5384,44.9397,2.7767,2.4693
2020-01-31,378.69,183225354.0,241975.1381,53.6172,2.7767,2.4693
2020-02-29,341.9,120711958.0,218465.5557,48.4079,2.7767,2.4693
2020-03-31,291.23,94460051.0,186088.6006,49.4658,1.9669,2.4693
2020-04-30,347.28,98513467.0,322120.1683,58.9865,2.3454,2.4693
2020-05-31,362.4,152217038.0,336137.3429,61.5533,2.4475,2.4693
2020-06-30,382.69,73849724.0,354964.3322,49.2787,2.5786,2.6669
2020-07-31,422.79,76674218.0,392160.2334,54.4425,2.5786,2.6669
2020-08-31,525.81,155264777.0,487715.2207,67.7081,2.5786,2.6669
2020-09-30,493.81,117457521.0,460438.3361,65.8545,3.265,2.6669
2020-10-31,486.8,98648712.0,454186.7839,64.9193,3.2186,2.6669
2020-11-30,531.39,99464679.0,495794.8458,70.8665,3.5135,2.6669
2020-12-31,582.66,86567470.0,543623.382,72.6323,3.8815,2.6669
2021-01-31,552.93,84491140.0,515884.6741,68.9262,3.8815,2.6669
2021-02-28,601.67,114227915.0,561363.2534,75.0024,3.8815,2.6669
2021-03-31,631.06,87528849.0,588779.4182,67.0287,4.0509,2.6669
2021-04-30,661.28,71736997.0,616978.902,70.239,4.2449,2.6669
2021-05-31,655.7,82759758.0,611772.1345,69.6463,4.2091,2.6669
2021-06-30,745.14,61586148.0,695218.6462,97.3419,4.8064,4.0003
2021-07-31,746.97,40305618.0,696534.0301,97.5806,4.8064,4.0003
2021-08-31,854.33,69492951.0,796650.7231,111.6065,4.8064,4.0003
2021-09-30,803.61,39310886.0,749355.4868,103.3799,5.1383,4.0003
2021-10-31,799.56,55087434.0,745579.2362,102.859,5.1124,4.0003
2021-11-30,769.04,32106193.0,717119.2097,98.9327,4.9172,4.0003
2021-12-31,734.32,36126647.0,684744.7681,88.7172,4.5977,4.0003
2022-01-31,718.37,59150484.0,669870.0246,86.79,4.5977,4.0003
2022-02-28,709.78,50102913.0,661857.005,85.7518,4.5977,4.0003
2022-03-31,767.86,63569845.0,716414.3032,76.5157,4.7313,4.0003
2022-04-30,813.64,35446246.0,759128.2252,81.0778,5.0134,4.0003
2022-05-31,750.42,42875701.0,700148.9155,74.7785,4.6239,4.0003
2022-06-30,697.68,31024845.0,650938.0539,64.6841,4.382,5.9757
2022-07-31,801.69,31330097.0,747977.4495,74.3269,4.382,5.9757
2022-08-31,799.71,57125912.0,746134.346,74.1438,4.382,5.9757
2022-09-30,792.99,47880772.0,739867.7944,69.3907,4.9693,5.9757
2022-10-31,760.69,28953093.0,709733.0533,66.5644,4.7669,5.9757
2022-11-30,808.01,36169663.0,759977.9803,70.7044,5.0634,5.9757
2022-12-31,757.53,25850818.0,712505.485,61.4543,4.8038,5.9757
2023-01-31,720.54,23510765.0,677713.9987,58.4535,4.8038,5.9757
2023-02-28,706.52,22525599.0,664522.0332,57.3157,4.8038,5.9757
2023-03-31,700.15,26077517.0,658529.9081,54.485,4.0458,5.9757
2023-04-30,754.47,26855269.0,709625.5489,58.7125,4.3598,5.9757
2023-05-31,788.84,21820678.0,741955.1543,61.3874,4.5584,8.3463
2023-06-30,850.33,41091446.0,799786.1295,63.0696,4.8797,8.3463
2023-07-31,848.75,35110383.0,798299.7108,62.9524,4.8797,8.3463
2023-08-31,824.11,24021163.0,775120.8702,61.1245,4.8797,8.3463
2023-09-30,866.13,34048373.0,814650.3159,63.8674,5.0429,8.3463
2023-10-31,889.44,31375867.0,836574.9908,65.5863,5.1786,8.3463
2023-11-30,929.2,29737879.0,873967.7097,68.5178,5.4101,8.3463
2023-12-31,1073.46,35851354.0,1009649.861,83.9876,5.9866,8.3463
2024-01-31,1104.27,38753687.0,1038635.025,86.3988,5.9866,8.3463
2024-02-29,1175.44,35629468.0,1133921.073,91.9668,5.9866,8.3463
2024-03-31,1082.74,40638417.0,1044497.525,88.9051,6.505,8.3463
2024-04-30,1094.74,53422256.0,1056074.468,89.8905,6.5771,8.3463
2024-05-31,1047.23,41808533.0,1010243.114,85.9895,6.2917,7.6549
2024-06-30,1083.98,33752761.0,1045688.569,91.6834,6.4421,7.6549
2024-07-31,1188.95,47561744.0,1132872.955,100.5621,6.4421,7.6549
2024-08-31,1200.15,25494005.0,1187432.667,101.5094,6.4421,7.6549
2024-09-30,1196.95,43983145.0,1184266.576,100.4914,6.19,7.6549
2024-10-31,1002.55,43576961.0,991926.526,84.1703,5.1847,7.6549
2024-11-30,958.65,25705876.0,948544.5041,80.4846,4.9576,7.6549
2024-12-31,914.7,33825719.0,905057.7979,77.729,4.6724,7.6549
2025-01-31,1024.65,45203614.0,1013848.773,87.0723,4.6724,7.6549
2025-02-28,963.7,31987736.0,953571.222,81.8929,4.6724,7.6549
2025-03-31,1001.9,36842048.0,991374.1869,77.0349,4.9566,7.6549
2025-04-30,1165.8,43568736.0,1153557.419,89.637,5.7675,7.6549
2025-05-31,1106.3,28326969.0,1094686.26,85.0621,5.4731,8.25
2025-06-30,1098.9,22592755.0,1087373.798,82.1715,5.5622,8.25
2025-07-31,1073.2,28984950.0,1061967.621,80.2498,5.5622,8.25
2025-08-31,1065.4,14518993.0,1054249.321,79.6665,5.5622,8.25
2025-09-30,1129.3,28176272.0,1117489.478,81.9521,5.5008,8.25
2025-10-31,1165.0,25032137.0,1152816.118,84.5428,5.6747,8.25
2025-11-30,1172.4,37878738.0,1160141.747,85.0798,5.7107,8.25
2025-12-31,1192.0,19409583.0,1179538.884,80.3235,5.7429,8.25
2026-01-31,1133.9,31065999.0,1122052.156,76.4084,5.7429,8.25
2026-02-28,1141.0,19937155.0,1129085.628,76.8868,5.7429,8.25
2026-03-31,1120.5,4024939.0,1108799.69,75.5054,5.7429,8.25
