FNXC IN Equity,price,volume,mc,pe,bm,div
2011-01-31,47.7,3135145.0,7295.1901,,1.2236,0.6
2011-02-28,44.35,1921704.0,6782.8444,,1.1376,0.6
2011-03-31,47.15,3388998.0,7211.0736,8.2719,1.0051,0.6
2011-04-30,52.45,4152800.0,8021.6503,9.2018,1.118,0.6
2011-05-31,47.55,1919210.0,7272.2492,8.3421,1.0136,0.6
2011-06-30,46.5,2913825.0,7111.6633,8.1579,0.9912,0.6
2011-07-31,45.35,1211405.0,6935.7834,7.9561,0.9667,0.7
2011-08-31,39.95,2035877.0,6109.9129,7.0088,0.8516,0.7
2011-09-30,37.8,1089064.0,5781.094,6.6316,0.8058,0.7
2011-10-31,37.15,1000480.0,5681.6837,6.5175,0.7919,0.7
2011-11-30,28.85,1844235.0,4412.29,5.0614,0.615,0.7
2011-12-31,30.55,4245513.0,4672.2863,5.3596,0.6512,0.7
2012-01-31,33.35,2808734.0,5100.5155,5.8509,0.7109,0.7
2012-02-29,33.4,2474944.0,5108.1624,5.8596,0.712,0.7
2012-03-31,31.05,1462058.0,4748.7558,4.8516,0.5933,0.7
2012-04-30,34.5,2089134.0,5276.3953,5.3906,0.6592,0.7
2012-05-31,36.55,5137835.0,5589.9314,5.7109,0.6984,0.7
2012-06-30,41.55,4379833.0,6354.6279,6.4922,0.7939,0.7
2012-07-31,39.9,3069663.0,6102.2781,6.2344,0.7624,0.8
2012-08-31,36.2,2030033.0,5536.4027,5.6563,0.6917,0.8
2012-09-30,41.2,4052991.0,6301.0992,6.4375,0.7872,0.8
2012-10-31,42.85,9456326.0,6553.449,6.6953,0.8187,0.8
2012-11-30,52.4,14673174.0,8014.0193,8.1875,1.0012,0.8
2012-12-31,57.6,9643052.0,8809.3037,9.0,1.1006,0.8
2013-01-31,58.0,6491023.0,8870.4794,9.0625,1.1082,0.8
2013-02-28,47.25,5464082.0,7226.382,7.3828,0.9028,0.8
2013-03-31,45.6,3085031.0,6974.0321,4.8,0.7545,0.8
2013-04-30,51.55,3911207.0,7884.0209,5.4263,0.853,0.8
2013-05-31,52.45,15354597.0,8021.6663,5.5211,0.8678,0.8
2013-06-30,49.3,3417113.0,7539.9098,5.1895,0.8157,1.2
2013-07-31,54.55,12787837.0,8342.8413,5.7421,0.9026,1.2
2013-08-31,51.6,3970055.0,7891.6703,5.4316,0.8538,1.2
2013-09-30,55.8,6171232.0,8534.0155,5.8737,0.9233,1.2
2013-10-31,60.9,6063990.0,9314.0062,6.4105,1.0077,1.2
2013-11-30,75.4,21422495.0,11531.6267,7.9368,1.2476,1.2
2013-12-31,82.65,15023846.0,12640.437,8.7,1.3675,1.2
2014-01-31,84.75,14944970.0,12961.6096,8.9211,1.4023,1.2
2014-02-28,77.9,10610160.0,11913.9751,8.2,1.2889,1.2
2014-03-31,110.7,21144902.0,16930.3856,8.1397,1.5344,1.2
2014-04-30,136.35,17487821.0,20853.2799,10.0257,1.89,1.2
2014-05-31,149.7,22174901.0,22895.0201,11.0074,2.075,1.2
2014-06-30,179.7,7683595.0,27483.2005,13.2132,2.4908,1.2
2014-07-31,208.8,12227710.0,31933.7355,15.3529,2.8942,1.2
2014-08-31,217.7,8056835.0,33294.8957,16.0074,3.0176,1.6
2014-09-30,213.45,7544073.0,32644.9035,15.6949,2.9587,1.6
2014-10-31,224.15,4493801.0,34281.3545,16.4816,3.107,1.6
2014-11-30,263.25,9038459.0,40261.2829,19.3566,3.6489,1.6
2014-12-31,262.4,7833824.0,40131.2845,19.2941,3.6372,1.6
2015-01-31,253.55,5402407.0,38777.7713,18.6434,3.5145,1.6
2015-02-28,267.65,5328640.0,40934.1221,19.6801,3.7099,1.6
2015-03-31,284.75,7859314.0,43549.4789,21.9038,3.4432,1.6
2015-04-30,269.05,3435552.0,41148.3311,20.6962,3.2533,1.6
2015-05-31,248.1,3568395.0,37944.2518,19.0846,3.0,1.6
2015-06-30,249.55,2703520.0,38166.0139,19.1962,3.0176,1.6
2015-07-31,255.6,3356905.0,39091.2969,19.6615,3.0907,1.8
2015-08-31,238.7,2885455.0,36506.622,18.3615,2.8864,1.8
2015-09-30,233.4,1788231.0,35696.0434,17.9538,2.8223,1.8
2015-10-31,250.75,1693242.0,38349.5411,19.2885,3.0321,1.8
2015-11-30,255.1,1579982.0,39014.8272,19.6231,3.0847,1.8
2015-12-31,252.95,1687097.0,38686.0076,19.4577,3.0587,1.8
2016-01-31,232.1,1950826.0,35497.2223,17.8538,2.8065,1.8
2016-02-29,238.0,871349.0,36399.5644,18.3077,2.8779,1.8
2016-03-31,281.2,2943465.0,43006.5442,13.0842,2.4216,1.8
2016-04-30,286.55,2430074.0,43824.7697,13.3332,2.4677,1.8
2016-05-31,352.5,4606691.0,53911.1196,16.4018,3.0356,1.8
2016-06-30,363.85,3644411.0,55646.9812,16.9299,3.1333,1.8
2016-07-31,393.55,1564329.0,60189.2797,18.3119,3.3891,1.8
2016-08-31,444.15,3154098.0,67928.0107,20.6663,3.8248,2.5
2016-09-30,442.0,1365891.0,67599.1911,20.5662,3.8063,2.5
2016-10-31,449.25,660269.0,68708.0013,20.9036,3.8688,2.5
2016-11-30,415.05,2266172.0,63477.4757,19.3123,3.5742,2.5
2016-12-31,413.65,1021037.0,63263.3606,19.2471,3.5622,2.5
2017-01-31,440.2,2113133.0,67323.9002,20.4825,3.7908,2.5
2017-02-28,445.5,2332378.0,68134.4788,20.7291,3.8365,2.5
2017-03-31,516.55,1864982.0,79000.8193,19.7156,3.6901,2.5
2017-04-30,526.1,1451920.0,80461.3901,20.0802,3.7583,2.5
2017-05-31,510.55,1404808.0,78083.1833,19.4866,3.6472,2.5
2017-06-30,456.3,1675802.0,69786.2237,17.416,3.2597,2.5
2017-07-31,466.8,3974130.0,71392.0869,17.8168,3.3347,2.5
2017-08-31,537.85,1948505.0,82258.4274,20.5286,3.8423,2.0
2017-09-30,541.95,1647694.0,82885.4787,20.6851,3.8716,3.0
2017-10-31,615.2,2589722.0,94088.2859,23.4809,4.3948,3.0
2017-11-30,675.6,2560542.0,103325.8201,25.7863,4.8263,3.0
2017-12-31,707.5,3218814.0,108204.5852,27.0038,5.0542,3.0
2018-01-31,735.05,1017370.0,112418.0641,28.0553,5.251,3.0
2018-02-28,716.95,1727343.0,109649.8634,27.3645,5.1217,3.0
2018-03-31,674.85,2595600.0,103211.117,31.2431,4.2492,3.0
2018-04-30,699.85,1048683.0,107034.6006,32.4005,4.4066,3.0
2018-05-31,685.1,2264302.0,104778.7453,31.7176,4.3137,3.0
2018-06-30,581.45,2331258.0,88926.5822,26.919,3.6611,3.0
2018-07-31,619.5,2464496.0,94745.9242,28.6806,3.9007,3.0
2018-08-31,547.5,1733016.0,83734.2914,25.3472,3.4473,3.0
2018-09-30,530.25,920883.0,81096.0877,24.5486,3.3387,4.0
2018-10-31,499.9,786205.0,76454.3786,23.1435,3.1476,4.0
2018-11-30,458.35,755157.0,70099.7488,21.2199,2.886,4.0
2018-12-31,454.2,881350.0,69465.0505,21.0278,2.8599,4.0
2019-01-31,415.2,827550.0,63500.416,19.2222,2.6143,4.0
2019-02-28,403.6,3523050.0,61726.3196,18.6852,2.5413,4.0
2019-03-31,475.45,2296102.0,72715.0116,17.8472,2.6567,4.0
2019-04-30,440.25,2359412.0,67331.5466,16.5259,2.46,4.0
2019-05-31,455.6,1940702.0,69679.1656,17.1021,2.5457,4.0
2019-06-30,440.35,1018035.0,67346.8406,16.5297,2.4605,4.0
2019-07-31,374.8,1790728.0,57321.6665,14.0691,2.0943,4.0
2019-08-31,367.2,1273932.0,56159.3275,13.7838,2.0518,4.0
2019-09-30,388.3,1202596.0,59386.3477,14.5758,2.1697,4.5
2019-10-31,383.3,1507384.0,58621.6509,14.3881,2.1418,4.5
2019-11-30,367.65,1595289.0,56228.1502,13.8007,2.0543,4.5
2019-12-31,371.1,2952583.0,56755.7909,13.9302,2.0736,4.5
2020-01-31,397.35,1445676.0,60770.4487,14.9155,2.2203,4.5
2020-02-29,324.8,2583232.0,49674.6993,12.1922,1.8149,4.5
2020-03-31,203.75,3073869.0,31161.3915,7.9683,1.0374,4.5
2020-04-30,255.1,1169663.0,39014.8269,9.9765,1.2989,4.5
2020-05-31,212.6,2315488.0,32514.9047,8.3144,1.0825,4.5
2020-06-30,285.4,3554831.0,43648.8891,11.1615,1.4532,4.5
2020-07-31,269.75,2539453.0,41255.3883,10.5495,1.3735,4.5
2020-08-31,277.2,6724204.0,42394.7864,10.8408,1.4114,4.5
2020-09-30,275.7,3549124.0,42165.3774,10.7822,1.4038,5.5
2020-10-31,276.95,2521590.0,42356.551,10.8311,1.4101,5.5
2020-11-30,308.8,5073915.0,47227.6691,12.0767,1.5723,5.5
2020-12-31,344.65,9807248.0,52710.5446,13.4787,1.7548,5.5
2021-01-31,366.1,8465256.0,55991.0935,14.3176,1.8641,5.5
2021-02-28,390.35,8567624.0,59699.8725,15.2659,1.9875,5.5
2021-03-31,380.95,4501884.0,58262.2427,12.6268,1.7063,5.5
2021-04-30,361.75,1810030.0,55325.8073,11.9904,1.6203,5.5
2021-05-31,441.55,21386691.0,67530.3669,14.6354,1.9777,5.5
2021-06-30,519.8,17924476.0,79497.8705,17.229,2.3282,5.5
2021-07-31,522.0,9135424.0,79834.3381,17.302,2.3381,5.5
2021-08-31,465.55,6195612.0,71200.9121,15.4309,2.0852,5.5
2021-09-30,487.1,5837329.0,74496.7549,16.1452,2.1818,5.5
2021-10-31,467.15,3487895.0,71445.615,15.4839,2.0924,5.5
2021-11-30,567.05,12662852.0,86724.2556,18.7952,2.5399,5.5
2021-12-31,528.1,3933846.0,80767.2681,17.5041,2.3654,5.5
2022-01-31,496.45,3415225.0,75926.7378,16.4551,2.2236,5.5
2022-02-28,413.6,3006948.0,63255.7131,13.709,1.8526,5.5
2022-03-31,377.65,5139133.0,57757.5436,9.6388,1.4726,5.5
2022-04-30,401.4,6316032.0,61389.8531,10.245,1.5652,5.5
2022-05-31,370.7,4003407.0,56694.6152,9.4615,1.4455,5.5
2022-06-30,376.3,4456457.0,57551.0755,9.6044,1.4674,5.5
2022-07-31,424.55,5129679.0,64930.3989,10.8359,1.6555,5.5
2022-08-31,461.0,7547274.0,70505.038,11.7662,1.7977,5.5
2022-09-30,469.5,6252043.0,71805.0225,11.9832,1.8308,6.0
2022-10-31,521.5,10256564.0,79757.8684,13.3104,2.0336,6.0
2022-11-30,552.6,10102298.0,84514.282,14.1041,2.1548,6.0
2022-12-31,547.0,5273176.0,83657.8217,13.9612,2.133,6.0
2023-01-31,553.95,3894043.0,84720.7502,14.1386,2.1601,6.0
2023-02-28,705.7,20299735.0,107929.2958,18.0117,2.7519,6.0
2023-03-31,812.6,24167040.0,124278.5117,24.6466,2.8437,6.0
2023-04-30,894.9,11176513.0,136865.4198,27.1429,3.1317,6.0
2023-05-31,800.95,7510847.0,122496.7684,24.2933,2.8029,6.0
2023-06-30,858.75,7996535.0,131336.6625,26.0464,3.0052,6.0
2023-07-31,1058.65,16639661.0,161909.2376,32.1095,3.7047,6.0
2023-08-31,1099.7,12581792.0,168187.3977,33.3546,3.8484,6.0
2023-09-30,1121.0,11165809.0,171445.0057,34.0006,3.9229,7.0
2023-10-31,896.55,13715243.0,137117.7698,27.1929,3.1374,7.0
2023-11-30,966.4,11316296.0,147800.583,29.3115,3.3819,7.0
2023-12-31,1069.15,9554780.0,163515.1007,32.428,3.7415,7.0
2024-01-31,1100.2,4794616.0,168263.8674,33.3697,3.8501,7.0
2024-02-29,920.8,4890576.0,140826.5489,27.9284,3.2223,7.0
2024-03-31,1001.0,8957753.0,153092.2843,23.4921,3.0954,7.0
2024-04-30,1053.25,4685196.0,161083.3651,24.7184,3.2569,7.0
2024-05-31,1435.4,27801759.0,219529.1358,33.6869,4.4386,7.0
2024-06-30,1559.4,6280639.0,238493.6146,36.597,4.8221,7.0
2024-07-31,1533.15,3846492.0,234478.9568,35.981,4.7409,7.0
2024-08-31,1452.25,4485446.0,222106.1638,34.0824,4.4907,7.0
2024-09-30,1412.5,7043425.0,216026.8248,33.1495,4.3678,8.0
2024-10-31,1223.5,4715970.0,187121.2886,28.7139,3.7834,8.0
2024-11-30,1149.85,2431484.0,175857.3058,26.9854,3.5556,8.0
2024-12-31,1182.0,13424244.0,180774.3058,27.74,3.6551,8.0
2025-01-31,1001.5,3932235.0,153168.754,23.5039,3.0969,8.0
2025-02-28,816.85,16555013.0,124928.504,19.1704,2.5259,8.0
2025-03-31,913.35,37726327.0,139687.1508,19.9334,2.542,8.0
2025-04-30,866.55,5163439.0,132529.5894,18.912,2.4117,8.0
2025-05-31,973.8,10574180.0,148932.3342,21.2527,2.7102,8.0
2025-06-30,979.6,10487048.0,149819.3824,21.3793,2.7263,8.0
2025-07-31,883.45,5277819.0,135114.2643,19.2809,2.4587,8.0
2025-08-31,820.25,6640663.0,125448.4977,17.9016,2.2829,8.0
2025-09-30,817.45,4093771.0,125020.2676,17.8405,2.2751,8.0
2025-10-31,785.9,4856226.0,120195.0312,17.1519,2.1873,8.0
2025-11-30,749.15,5541755.0,114574.5103,16.3498,2.085,8.0
2025-12-31,749.7,4248980.0,114658.6269,16.3619,2.0865,8.0
2026-01-31,723.4,3973544.0,110636.3222,15.7879,2.0133,8.0
2026-02-28,913.7,11913169.0,139740.6795,19.9411,2.5429,8.0
2026-03-31,921.9,4591607.0,140994.7859,20.12,2.5658,8.0
